No,Time [frame],xg [px],yg [px],sigma x [px],sigma y [px],Imax [a.u.],Iback [a.u.],a [a.u./px],b[a.u./px],Raw Intensity[au],Average Intensity[au/px^2],Model 1,Model 2,Model 3,Model 4,Model 5,Label
1,1,49.0435,430.446,2.48398,1.72405,1069.28,126.909,-10.493,-0.881429,28321.7,287.657,1,1,1,1,1,0
1,2,48.827,430.453,2.45244,1.77925,817.206,128.644,-8.58059,-1.11315,22071.4,261.509,1,1,1,1,1,0
1,3,48.508,430.388,2.40643,1.73674,833.068,108.123,-5.05108,-1.64098,21559.4,239.077,1,1,1,1,1,0
1,4,48.6582,430.329,2.18857,1.51244,904.621,131.278,-5.18866,0.168128,18694.4,240.941,1,1,1,1,1,0
1,5,48.9882,430.329,2.38989,1.62174,890.704,116.762,-6.31609,0.753494,21437.6,245.586,1,1,1,1,1,0
1,6,48.944,430.503,2.4451,1.7395,969.11,110.856,-6.73971,-0.627515,25371,265.13,1,1,1,1,1,0
1,7,48.7931,430.395,2.54498,1.86874,864.515,89.173,-1.06191,-3.30459,25330.5,247.698,1,1,1,1,1,0
1,8,48.8712,430.268,2.58901,1.76287,791.6,69.473,-0.696597,-1.73925,23462.8,215.893,1,1,1,1,1,0
1,9,48.9138,430.573,2.32441,1.57891,875.51,117.149,-7.21675,-7.09321,19996.7,235.231,1,1,1,1,1,0
1,10,49.0659,430.319,2.33308,1.54504,771.862,108.518,-5.37728,-0.5628,17312.5,208.751,1,1,1,1,1,0
1,11,49.2958,430.164,2.43905,1.56162,727.038,119.326,-6.53697,0.432276,17017.9,217.089,1,1,1,1,1,0
1,12,49.1869,430.219,2.49298,1.65735,821.608,118.821,-8.87927,-1.25761,20989.1,238.698,1,1,1,1,1,0
1,13,49.0786,430.403,2.35141,1.57802,900.735,108.565,-4.58713,-2.12442,20782.5,227.254,1,1,1,1,1,0
1,14,49.0599,430.57,1.99482,1.50585,997.13,147.896,-3.4672,-6.77106,18773.5,249.592,1,1,1,1,1,0
1,15,48.8474,430.58,2.17938,1.71943,917.939,121.125,-5.08218,-4.75604,21479.5,244.805,,,,,,0
2,1,68.1915,55.8489,2.62001,2.92338,2349.68,192.536,-3.01992,-28.5661,106114,842.716,1,1,1,1,1,0
2,2,68.2146,55.8179,2.58318,2.89188,2297.59,255.209,-8.69196,-36.1789,101850,871.497,1,1,1,1,1,0
2,3,67.9216,55.9177,2.61445,3.08217,2311.03,205.008,-1.28587,-29.9265,108799,879.568,1,1,1,1,1,0
2,4,67.9874,55.9112,2.38344,2.80046,2306.87,305.825,-5.88485,-28.4738,92576.1,869.278,1,1,1,1,1,0
2,5,68.2747,55.3707,2.37111,2.67712,2291.82,252.774,-6.76861,-25.2328,92696.8,802.823,1,1,1,1,2,0
2,6,67.9822,55.475,2.40754,2.6102,2092.09,279.706,-9.67429,-31.7808,79630.4,762.964,1,1,1,2,2,0
2,7,67.3057,55.6216,2.31321,2.58705,1983.43,249.219,0.978755,-32.1615,73636.9,682.87,1,1,1,2,2,0
2,8,67.5952,55.9886,2.34431,2.45979,1827.12,182.787,-3.95703,-24.9211,63946.1,570.864,1,1,1,2,2,0
2,9,67.8535,56.394,2.35509,2.44831,1803.64,188.404,-6.05332,-24.2467,63034.8,565.728,1,1,1,1,2,0
2,10,67.8111,56.8731,2.57287,2.74366,1943.88,154.162,-9.48687,-26.651,83507.6,672.994,1,1,1,1,1,0
2,11,67.8419,56.7844,2.34168,2.24159,2320.09,262.384,-0.372242,-33.0154,75432,716.527,1,1,1,1,1,0
2,12,67.4924,56.5759,2.39852,2.30229,1836.21,272.26,-3.42568,-27.2341,62242,637.414,1,1,1,2,2,0
2,13,67.9539,56.3225,2.31554,2.5335,1612.15,214.11,-8.07304,-25.3538,60723.4,578.651,1,1,1,2,2,0
2,14,68.1115,56.307,2.68314,2.66937,1635.28,149.556,2.65981,-25.1726,72558,589.893,1,1,1,2,2,0
2,15,67.4284,56.7272,2.66013,2.78539,1701.32,181.267,-7.33424,-20.412,75346.9,642.882,1,1,1,2,2,0
2,16,67.3432,56.7196,2.37917,2.52288,1753.98,246.07,1.28161,-33.9447,64226.8,628.982,1,1,1,2,2,0
2,17,67.924,56.4427,2.59511,2.52689,1739.81,193.974,3.45505,-30.3306,67527.4,600.669,1,1,1,2,2,0
