No,Time [frame],xg [px],yg [px],sigma x [px],sigma y [px],Imax [a.u.],Iback [a.u.],a [a.u./px],b[a.u./px],Raw Intensity[au],Average Intensity[au/px^2],Model 1,Model 2,Model 3,Model 4,Model 5,Label
1,1,8.54898,189.119,1.134,1.53065,533.002,94.2805,2.6351,4.319,5812.67,126.479,1,1,1,1,1,0
1,2,8.43886,189.077,1.11731,1.31822,504.176,103.898,6.07364,3.903,4665.76,126.254,1,1,1,1,1,0
1,3,8.2833,189.385,1.26709,1.821,409.054,87.6168,4.20295,4.39716,5924.17,119.053,1,1,1,1,1,0
1,4,8.58241,189.18,1.23446,1.76256,450.974,73.2206,7.64062,3.39712,6163.71,113.556,1,1,1,1,1,0
1,5,8.73605,189.411,1.39867,1.7321,482.02,88.8744,5.49418,1.47551,7332.67,131.467,1,1,1,1,1,0
1,6,8.63715,189.037,1.36538,1.65067,572.028,77.903,5.36746,5.60698,8099,125.698,1,1,1,1,1,0
1,7,8.59171,188.967,1.43735,1.66061,592.203,84.1231,4.72135,3.09156,8878.87,136.29,1,1,1,1,1,0
1,8,8.55402,189.186,1.37687,1.62431,498.978,86.9057,3.73698,1.66575,7010.21,126.988,1,1,1,1,1,0
1,9,8.16944,189.326,1.32598,1.5987,394.558,70.0741,6.19482,1.38223,5254.28,102.006,1,1,1,1,1,0
1,10,8.16306,189.355,1.271,1.87631,392.974,62.5342,3.05944,-1.93771,5879.83,95.8284,1,1,1,1,1,0
1,11,8.51256,189.267,1.63456,1.8573,442.557,59.9533,-0.823224,-0.113055,8344.16,107.195,1,1,1,1,1,0
1,12,8.60392,189.255,1.51268,1.43362,568.738,70.1411,-1.36412,-1.08754,7748.6,114.503,1,1,1,1,1,0
1,13,8.49404,189.219,1.49418,1.44435,528.535,71.8768,-0.371333,-0.13732,7165.98,113.053,1,1,1,1,1,0
1,14,8.29476,189.607,1.65812,1.49628,496.409,80.9125,4.05947,0.310849,7522.3,123.178,1,1,1,1,1,0
1,15,8.22531,189.788,1.68553,1.63905,529.131,64.3243,2.01548,-1.69726,9179.55,117.284,1,1,1,1,1,0
1,16,8.47147,189.388,1.20275,1.59399,641.902,60.0707,-2.7863,-0.40886,7730.8,104.308,1,1,1,1,1,0
1,17,8.49388,189.267,1.04563,1.76586,647.104,53.0198,-1.24086,-2.58694,7509.33,96.8757,1,1,1,1,1,0
1,18,8.36826,189.293,1.03323,1.83735,563.109,46.8972,-2.47462,-1.30078,6709.76,87.4438,1,1,1,1,1,0
1,19,8.29922,189.343,1.23256,1.74613,543.126,60.9294,2.58904,-0.965529,7340.04,100.775,1,1,1,1,1,0
1,20,8.46365,189.374,1.20632,1.49422,705.105,72.2836,1.84834,-2.40665,7985.09,114.402,1,1,1,1,1,0
1,21,8.36426,189.482,1.30276,1.73654,614.082,62.2188,0.982794,-2.22464,8722.51,112.811,1,1,1,1,1,0
1,22,8.36801,189.514,1.4538,2.02333,546.143,58.8897,0.421825,-2.79184,10057.6,117.243,1,1,1,1,1,0
1,23,8.40525,189.389,1.51885,1.98605,514.319,54.4419,-0.311327,0.0067582,9874.57,111.621,1,1,1,1,1,0
1,24,8.15251,189.336,1.45477,1.565,642.936,57.9344,1.19776,0.123036,9195.7,110.225,1,1,1,1,1,0
1,25,8.50361,189.339,1.38068,1.47683,630.491,58.0572,-0.88132,-0.604799,8111.22,104.828,1,1,1,1,1,0
1,26,8.4875,189.494,1.4663,1.63373,583.917,54.2211,-4.55227,-2.37901,8785.35,108.107,1,1,1,1,1,0
1,27,8.49541,189.245,1.53091,1.82394,526.778,51.7858,-2.40853,-1.67429,9231.91,108.604,1,1,1,1,1,0
1,28,8.53476,189.471,1.68285,2.17636,295.303,48.8732,3.08614,-0.622241,6990.3,90.4142,1,1,2,2,3,0
1,29,8.50975,190.256,1.58919,2.10937,217.54,46.1914,-0.79037,-2.26831,4395.72,74.3136,,,,,,0
2,1,45.1729,127.468,1.61254,1.69549,632.952,265.53,15.7871,11.9032,11715.2,330.574,1,2,3,4,5,0
2,2,43.9298,125.544,2.02741,2.34059,1047.12,216.827,5.05458,7.98429,32218.7,404.278,1,2,3,4,5,0
2,3,44.6998,126.798,2.28917,1.83077,908.79,257.101,12.971,6.31211,23696.8,390.095,1,2,3,4,5,0
2,4,44.0826,127.584,1.93794,2.10946,982.596,244.596,10.9561,-5.25855,25862.2,402.615,1,2,3,4,5,0
2,5,43.6672,126.573,1.98295,2.08899,1043.15,276.26,16.0542,4.79956,26777.9,431.799,1,2,3,4,5,0
2,6,43.0035,125.032,1.88549,2.48934,1143.94,294.281,30.0948,29.846,33179.7,491.917,1,1,2,3,4,0
2,7,42.8713,124.792,2.10777,3.69281,1037.73,196.163,4.47771,25.8546,45238.8,468.574,1,1,2,3,4,0
2,8,42.4855,125.58,2.14882,3.61414,1005.63,179.547,-12.0183,10.0141,45494.9,455.71,1,1,2,2,3,0
2,9,42.2046,125.864,2.40293,3.05398,1246.8,136.258,-14.709,-8.44186,54136.2,463.515,1,1,2,2,2,0
2,10,42.3811,125.619,2.41422,3.16771,1220.59,146.889,-13.9989,-13.8448,53836.2,476.68,1,2,3,4,5,0
2,11,40.2588,122.932,1.96031,2.07456,872.4,321.182,31.3963,24.2558,22173.9,437.645,1,2,3,4,5,0
2,12,39.5799,122.449,2.38733,1.70757,744.222,160.611,5.04833,1.58536,18829,269.385,1,1,2,2,3,0
2,13,39.9048,122.156,2.20409,2.2345,755.711,97.9035,-3.70454,-0.0911303,23554.6,241.213,1,1,2,2,2,0
2,14,39.6499,122.356,2.04848,2.30435,779.042,100.831,-3.37595,-2.95474,22322.9,237.651,1,2,3,4,5,0
2,15,37.57,124.241,2.75557,2.38997,445.73,104.181,-4.57753,-6.69704,18392.8,221.083,1,2,3,4,5,0
2,16,33.7991,125.752,2.36783,2.0952,471.696,208.708,4.89611,-3.38131,14172.3,287.402,1,2,3,4,5,0
2,17,31.9632,126.929,2.03572,2.11049,984.343,233.158,19.0125,7.8294,26385.4,376.834,1,2,3,4,5,0
2,18,30.741,124.762,2.34424,1.63708,607.354,212.231,15.2648,12.6221,14494.5,289.751,1,2,3,4,5,0
2,19,28.405,122.541,2.19731,1.68195,626.797,191.648,4.92578,5.13167,12613.8,270.059,1,2,3,4,5,0
2,20,24.995,121.051,2.78021,1.89759,361.293,111.789,0.871264,2.821,11600.6,179.988,1,2,3,4,5,0
2,21,22.4009,123.836,1.84466,2.25112,755.066,125.41,-2.51802,-4.97,19502.6,241.568,1,2,3,4,5,0
2,22,23.2147,126.363,2.31329,1.6791,625.493,163.778,6.73278,-2.90581,15118.3,251.698,1,2,3,4,5,0
2,23,24.5272,129.325,1.89699,1.84751,884.643,235.637,22.743,-3.61751,19420.5,347.183,1,2,3,4,5,0
2,24,26.4613,128.752,2.25447,1.60148,601.584,338.121,32.7889,3.37562,13739.3,413.84,,,,,,0
3,1,61.6042,309.04,1.34044,1.53728,362.614,77.4943,1.65444,-4.11164,4694.55,105.041,1,1,2,2,2,0
3,2,61.6575,308.457,1.34195,1.69233,311.531,72.8632,-0.188499,-0.788032,4443.11,99,1,1,2,3,4,0
3,3,61.7239,308.37,1.51097,1.83179,340.562,83.545,-3.66825,-0.635895,5915.45,118.32,1,2,3,4,5,0
3,4,60.1725,308.329,3.47826,1.54996,316.414,111.88,-7.9619,-6.36887,9306.59,162.148,1,2,3,4,5,0
