No,Time [frame],xg [px],yg [px],sigma x [px],sigma y [px],Imax [a.u.],Iback [a.u.],a [a.u./px],b[a.u./px],Raw Intensity[au],Average Intensity[au/px^2],Model 1,Model 2,Model 3,Model 4,Model 5,Label
1,1,25.0588,187.906,2.35349,2.32597,824.79,160.117,-3.57263,-9.17219,27262.2,318.118,1,2,3,4,5,0
1,2,25.5279,189.607,2.41813,1.97944,546.476,154.778,-6.47645,-7.54721,16211.8,250.426,1,2,3,4,5,0
1,3,24.8637,191.678,2.26231,2.30382,658.385,119.01,-8.80289,-6.6915,21005.1,248.669,1,2,3,4,5,0
1,4,24.3685,192.809,2.16451,2.60159,802.352,101.985,-2.82366,-3.15381,27136.1,262.805,1,1,2,3,4,0
1,5,24.6525,193.148,2.37468,2.56032,857.247,102.192,-2.72767,-8.20313,32177.1,291.42,1,1,2,3,4,0
1,6,24.5139,193.68,2.41192,2.40288,748.817,110.796,-8.62726,-15.3843,26628.3,268.852,1,1,2,3,4,0
1,7,24.5414,192.882,2.17958,2.14319,707.687,97.8481,-6.16239,-12.261,20535.8,223.84,1,1,2,3,4,0
1,8,24.829,192.084,2.42251,2.31574,632.489,82.3362,-4.07088,-8.08174,21808.2,210.55,1,1,2,2,3,0
1,9,24.676,192.345,2.32763,2.32769,600.891,106.491,-3.99143,-4.23674,20043.2,222.219,1,1,2,2,3,0
1,10,24.4403,192.718,2.16473,2.51076,712.781,103.634,-3.80847,-8.21184,23865.6,247.036,1,1,2,2,3,0
1,11,24.2646,193.018,1.79149,2.17588,714.996,144.678,0.577633,-13.2985,17403.4,238.178,1,1,2,3,4,0
1,12,24.2969,193.543,2.24892,2.32789,712.203,110.064,0.0411272,-9.75068,22996.7,246.473,1,1,2,3,4,0
1,13,24.9783,192.996,2.1356,2.32696,778.906,76.672,-2.48236,-8.55207,23982.5,225.515,1,1,2,3,4,0
1,14,24.8509,192.655,2.18075,2.52674,779.23,48.5643,-3.78619,-9.32764,27836.8,222.864,1,2,3,4,5,0
1,15,24.3491,193.979,2.01142,2.27133,731.908,130.744,1.67726,-11.8092,20784.8,250.367,1,2,3,4,5,0
1,16,23.6483,194.838,2.50439,2.33385,807.774,101.371,5.74933,-14.3527,28878.2,277.077,1,2,3,4,5,0
1,17,24.2559,196.289,2.48224,2.26363,684.683,99.0339,-0.908443,-12.9799,23607.2,241.828,1,2,3,4,5,0
1,18,24.6565,196.728,2.16564,2.03251,722.294,141.639,-3.17337,-14.8398,19510.9,247.822,1,2,3,4,5,0
1,19,24.5639,194.807,2.37164,2.68833,824.821,81.1943,-2.01846,-7.15423,31983.5,277.787,1,2,3,4,5,0
1,20,23.8374,193.879,2.28202,2.62231,618.3,91.5015,0.808112,-7.61465,22562.1,230.698,1,2,3,4,4,0
1,21,24.5505,193.751,2.06868,2.72779,562.173,70.2515,-3.44122,-7.25817,19460.5,189.036,1,2,3,4,4,0
1,22,24.6615,194.527,1.98236,2.4681,577.435,81.8735,0.359449,-7.08615,18037.1,188.728,1,2,3,4,5,0
1,23,25.0324,195.306,2.56937,2.45972,731.804,42.8143,-3.44143,-10.0699,29812.3,225.225,1,2,3,4,5,0
1,24,25.2067,196.853,2.52931,2.32095,756.145,106.154,-5.77025,-7.18945,26623.9,264.408,1,2,3,4,5,0
1,25,24.8437,198.661,2.21171,2.25882,783.87,125.209,0.492084,-17.2074,24252.2,265.888,1,1,1,2,4,0
