No,Time [frame],xg [px],yg [px],sigma x [px],sigma y [px],Imax [a.u.],Iback [a.u.],a [a.u./px],b[a.u./px],Raw Intensity[au],Average Intensity[au/px^2],Model 1,Model 2,Model 3,Model 4,Model 5,Label
2,30,36.9636,116.123,2.20534,2.18116,1014.29,137.4,2.07624,-10.9737,29944,313.923,1,2,3,4,3,0
2,31,37.1305,116.248,2.18626,2.03039,1005.11,146.243,-2.92073,-9.33933,27373.4,309.408,1,2,2,3,3,0
2,32,37.7056,116.598,1.65194,2.03326,940.486,176.927,-2.65337,-14.388,18942.9,287.035,1,2,3,4,5,0
2,33,38.2066,116.308,2.0112,2.30374,1029.49,144.301,-4.00571,-9.10433,30228.7,318.58,1,2,3,4,5,0
2,34,36.2634,116.476,1.60824,2.24892,820.55,135.093,-4.27692,-8.03763,19441.5,248.408,1,2,3,4,5,0
2,35,33.9487,115.509,2.25504,2.37841,930.328,94.9584,-2.04369,-3.95309,30464.8,278.521,1,2,3,4,5,0
2,36,35.2226,116.451,1.44113,1.99262,734.305,137.499,-2.65891,-12.0502,12337.8,207.994,1,2,3,4,5,0
2,37,36.9092,115.799,1.9955,2.06179,1093.37,142.471,0.705761,-11.9184,27501.4,301.828,1,2,3,4,5,0
2,38,35.7519,114.465,1.58015,2.30694,908.457,140.221,-1.43614,-13.636,20593.2,259.355,1,2,3,4,5,0
2,39,35.3262,114.604,1.67953,2.31309,913.989,114.451,-1.29139,-5.81175,22079.5,242.976,1,2,3,4,5,0
2,40,35.1077,116.595,1.94966,2.16961,747.836,129.608,-1.79474,-4.65328,19923.2,247.781,1,2,3,4,5,0
2,41,35.0136,117.65,2.15326,1.94965,1345.33,42.2572,-1.88964,11.3618,44335.9,321.237,1,2,3,4,5,0
2,42,35.8486,118.228,2.34749,2.16523,787.298,146.685,3.78868,-7.8055,25032.3,291.047,1,2,3,4,5,0
2,43,35.4275,120.752,2.11368,2.64356,733.658,143.667,2.57161,-7.46194,25589.3,294.095,1,2,3,4,5,0
2,44,35.5899,122.523,1.99767,1.91331,815.996,146.786,-6.93258,-5.69676,19332.3,262.663,1,2,3,4,5,0
2,45,34.052,122.806,1.78794,2.45516,491.054,139.177,-5.60281,-3.22036,13353.6,218.059,1,2,3,4,5,0
2,46,31.6435,123.242,2.10172,2.23786,882.811,136.875,3.39132,-6.73797,25784.9,291.231,1,2,3,4,5,0
2,47,32.6331,124.325,1.91932,2.20683,711.915,168.129,-4.50635,-1.08904,18607.5,268.988,1,2,3,4,5,0
2,48,34.9178,126.771,1.98182,2.57535,628.092,133.971,-1.69848,-6.92114,19549.7,254.941,1,2,3,4,5,0
2,49,36.4193,127.858,1.84008,2.50539,742.472,154.898,-2.17569,-4.9114,21133.7,277.213,1,2,3,4,5,0
2,50,37.9598,126.386,1.94214,2.09875,638.721,149.039,-9.5483,-3.43389,16254.8,245.911,1,2,3,4,5,0
2,51,39.6103,125.672,1.82999,1.89745,668.938,151.457,-11.9902,-1.7609,15104.2,239.379,1,2,3,4,5,0
2,52,40.4914,125.116,1.94506,2.0551,618.563,128.637,-4.89828,-4.91399,15514.3,220.462,1,2,3,4,5,0
2,53,40.4677,125.443,2.16936,1.91915,470.15,147.617,-3.09024,-1.49983,12195.5,220.775,1,2,3,4,5,0
2,54,39.4612,124.639,1.63165,1.81571,361.2,175.992,-7.09082,9.8403,6362.4,210.994,1,2,3,4,5,0
2,55,36.1802,121.987,2.33379,1.74059,535.72,138.119,-1.37067,-6.0506,13533,220.893,1,2,3,4,5,0
2,56,36.4749,120.939,1.99714,2.56813,575.37,139.841,-3.56379,-14.4225,18137.5,255.574,1,2,3,4,5,0
