No,Time [frame],xg [px],yg [px],sigma x [px],sigma y [px],Imax [a.u.],Iback [a.u.],a [a.u./px],b[a.u./px],Raw Intensity[au],Average Intensity[au/px^2],Model 1,Model 2,Model 3,Model 4,Model 5,Label
1,49,43.89,113.405,1.85255,2.07907,921.332,93.3433,-1.88604,-7.8288,22748.6,229.095,1,1,1,1,1,0
1,50,43.9305,113.272,2.07462,2.33787,916.141,95.4819,-3.45144,-10.5852,27536.9,260.544,1,1,1,1,1,0
1,51,43.9606,113.133,2.03628,2.14001,944.777,98.8658,-4.60179,-6.54755,26065.2,251.278,1,1,1,1,1,0
1,52,44.0928,113.04,1.98921,2.13285,1006.48,94.2606,-4.28952,-5.99116,27441.7,251.059,1,1,1,1,1,0
1,53,43.9863,113.251,1.86394,2.41005,774.015,91.7579,-2.0138,-6.30091,21534.4,216.621,1,1,1,1,1,0
1,54,43.9048,113.498,2.29698,2.80029,685.394,54.2529,0.115255,-7.65628,26548.6,221.864,1,1,1,1,1,0
1,55,43.702,113.185,2.27975,2.6288,817.412,68.2005,-1.24195,-6.08772,29846.4,251.42,1,1,1,1,1,0
1,56,43.5077,113.256,2.05869,2.15135,790.087,96.2064,2.0702,-8.38803,21320.5,221.183,1,1,1,1,1,0
1,57,43.4393,113.296,1.99901,2.31042,695.686,107.469,2.92731,-8.85128,20095.6,222.538,1,1,1,1,1,0
1,58,43.4711,113.087,1.93421,2.64835,700.101,109.44,6.91441,-9.94394,21780.2,231.947,1,1,1,1,1,0
1,59,43.1801,113.17,1.95223,2.37933,720.483,111.007,7.14981,-14.3436,20749.4,227.97,1,1,1,1,1,0
1,60,42.9894,113.023,2.19361,2.301,653.581,109.667,7.52527,-10.2183,20886,223.769,1,1,1,1,1,0
1,61,43.4225,112.953,2.136,2.21067,632.64,138.482,6.68818,-7.62534,18552.5,245.432,1,1,1,1,1,0
1,62,43.4069,113.262,2.21138,2.23471,663.367,102.874,3.5149,-8.14213,20304.5,217.675,1,1,1,1,1,0
1,63,43.1453,113.222,2.31458,2.47918,651.691,79.7265,5.02657,-8.15234,22927.4,212.852,1,1,1,1,1,0
