No,Time [frame],xg [px],yg [px],sigma x [px],sigma y [px],Imax [a.u.],Iback [a.u.],a [a.u./px],b[a.u./px],Raw Intensity[au],Average Intensity[au/px^2],Model 1,Model 2,Model 3,Model 4,Model 5,Label
1,1,70.4273,54.7589,2.53469,2.91235,1711.82,273.554,-25.1206,-51.9462,74859.3,732.769,1,1,1,2,2,0
1,2,70.5515,54.8751,2.23771,2.58925,2458.56,340.635,-29.9508,-47.4187,87023.1,871.237,1,1,1,2,2,0
1,3,70.3767,55.542,2.30596,2.88943,2694.37,297.609,-32.9134,-36.5281,107320,953.751,1,1,1,2,2,0
1,4,70.3424,55.4838,2.35812,2.59569,2973.07,290.277,-20.5406,-46.9722,109342,951.905,1,1,2,2,3,0
1,5,70.8509,54.9371,2.12257,2.14453,3290.7,408.966,-16.3531,-60.828,93252,987.231,1,1,1,2,2,0
1,6,70.8436,54.5683,2.1549,2.57303,3113.4,431.445,-8.95133,-75.0697,105685,1069.26,1,1,1,2,3,0
1,7,70.569,54.7316,2.12108,2.76853,3222.58,387.283,-18.3405,-63.9876,114732,1083.7,1,1,2,2,3,0
1,8,70.6898,54.5326,2.37685,2.95971,2539.91,249.571,-15.0788,-43.4227,106047,904.018,1,1,2,2,3,0
1,9,70.3289,55.2992,2.1086,2.60529,2316.66,322.72,-17.6333,-56.4613,77902.2,777.55,1,1,2,2,3,0
1,10,69.6512,55.7924,2.2085,2.41416,2746.3,327.392,-8.73297,-60.9607,90320.2,878.041,1,1,2,2,3,0
1,11,69.9066,55.5516,2.2878,2.42285,2620.49,352.035,-1.48768,-59.9103,89228.4,879.68,1,1,2,2,3,0
1,12,70.2654,54.8981,2.05158,2.5404,2030.94,596.552,35.1697,11.7259,49889.5,862.272,1,1,2,2,3,0
1,13,70.9612,54.8163,2.5329,2.49205,2408.18,185.507,0.29964,-33.8269,91174.1,742.485,1,1,2,2,3,0
1,14,70.5183,54.4796,2.48815,2.59278,2159.47,189.295,3.18789,-31.9462,82599.2,691.278,1,1,2,3,3,0
1,15,70.6687,54.0982,2.27909,2.65824,2071.63,385.428,12.7565,-4.12942,66376.4,758.408,1,1,2,3,4,0
1,16,71.522,54.2902,2.24043,2.49943,2916.68,380.227,-13.9672,-51.7735,96964.3,950.639,1,1,2,3,4,0
1,17,70.6154,54.8914,2.51996,3.0528,2426.92,225.806,-21.0459,-37.0979,111041,908,1,1,2,3,4,0
1,18,70.3118,54.8093,2.6311,2.88381,2108.8,565.896,20.9006,18.4675,75899.3,982.124,1,1,2,2,3,0
1,19,70.1758,55.62,2.38371,2.91425,2593.83,354.496,11.7402,-2.19427,86381.9,868.396,1,1,2,2,3,0
1,20,69.9315,55.4414,2.36975,2.60168,2050.39,210.031,1.06452,-30.6304,76831.1,671.237,1,1,2,2,3,0
1,21,70.409,55.2662,2.17384,2.55915,1661.59,288.687,-8.61445,-35.3633,52704.4,588.036,1,1,2,2,3,0
1,22,70.654,54.6465,2.30835,2.79599,1740.2,220.234,-18.4028,-24.5654,66398.9,608.917,1,1,2,2,3,0
1,23,70.2867,54.6839,2.37156,2.75666,1926.85,232.049,-12.489,-22.0168,73614.4,673.645,1,1,2,2,3,0
1,24,69.7222,55.1206,2.1028,2.53552,2338.33,188.809,-10.7169,-27.9807,77201.4,640.669,1,1,2,3,4,0
1,25,69.5705,55.3686,2.13464,2.42517,1858.67,432.944,16.7175,18.1107,39167.3,627.823,1,1,2,3,4,0
1,26,69.3169,56.0402,2.18728,2.62306,2334.62,262.306,-17.0137,-18.7777,77623.8,710.562,1,2,2,3,4,0
1,27,69.458,54.9451,1.91158,1.7091,2276.13,610.616,12.1872,31.4258,46315.9,847.923,1,2,2,3,4,0
1,28,70.3177,54.8932,2.379,2.50954,3105.19,262.027,-18.7427,-44.8264,113647,959.325,1,2,2,3,4,0
1,29,71.184,53.6529,2.32252,2.66159,2567.95,300.699,-23.4715,-17.5705,95397.7,872.314,1,1,2,3,4,0
1,30,70.6757,53.4926,2.08697,2.69223,2050.89,408.645,-9.36537,12.8447,66048.6,774.604,1,1,2,3,4,0
1,31,70.0214,54.2014,2.41237,2.84163,2416.15,227.753,-14.5879,-17.9523,99271.9,813.574,1,1,2,3,4,0
1,32,69.9599,54.968,2.35582,2.62794,2943.02,254.915,-5.04746,-40.5038,110939,934.308,1,1,2,3,4,0
1,33,70.0437,55.5726,2.48776,2.84229,2727.94,284.465,-2.54222,-56.6314,115072,973.527,1,1,1,2,2,0
1,34,69.7795,55.5232,2.5458,2.64828,2543.15,460.533,27.2086,-23.3101,92611.6,1013.34,1,1,1,2,1,0
1,35,70.2055,55.5057,2.43443,2.62428,3299.48,287.954,-3.16678,-53.621,128283,1055.24,1,1,1,1,1,0
1,36,70.006,55.6106,2.42746,2.70685,3535.92,476.669,13.872,2.27375,113292,1145.29,1,1,1,2,2,0
1,37,70.4337,55.3281,2.42411,2.8607,3095.89,332.332,-13.4335,-1.45213,114388,996.633,1,1,1,2,2,0
1,38,70.4002,55.6734,2.57372,2.60526,2769.33,218.649,-4.29656,-38.6402,111284,898.041,1,1,1,2,2,0
1,39,70.2179,55.7003,2.32085,2.53508,2606.32,382.735,-19.0924,-25.1968,93716.6,941.639,1,1,2,2,3,0
1,40,71.074,55.1893,2.7149,2.80737,2542.33,199.129,-40.1212,-7.58836,123078,938.686,1,1,1,2,2,0
1,41,71.2217,55.1175,2.76743,2.81834,2599.24,165.442,-42.067,-6.81701,127267,936.87,1,1,1,2,2,0
1,42,71.2179,54.7457,2.6101,2.74795,2997.48,203.616,-22.0388,-35.5139,128335,983.331,1,1,1,2,2,0
1,43,70.9401,54.536,2.20537,2.45014,3464.5,318.874,-24.5909,-46.9817,114593,1002.57,1,1,1,2,2,0
1,44,70.4805,54.0963,2.23852,2.43737,3755.49,190.076,-5.45174,-48.8609,128903,953.651,1,1,1,1,1,0
1,45,70.5158,54.2115,2.24445,2.34119,3224.81,218.918,-11.8104,-52.6422,104509,835.349,1,1,1,1,1,0
1,46,70.5091,54.5184,2.2375,2.18555,2898.47,330.971,-29.7548,-33.4238,85819.4,825.284,1,1,1,1,1,0
1,47,70.2573,54.8908,2.19371,2.2423,2342.17,536.244,42.8041,-13.3602,53471.1,811.225,1,1,1,1,1,0
1,48,70.4295,54.6974,2.11131,2.44019,2542.4,210.664,-13.1719,-27.2439,80202.7,694.639,1,1,1,1,1,0
1,49,70.3182,54.1915,2.17824,2.47409,2278.37,204.612,-14.288,-14.2496,74198.3,638.012,1,1,1,1,1,0
1,50,70.2937,54.406,2.25896,2.97888,2066.08,147.453,-19.2073,-12.0113,82902.2,647.621,1,1,2,3,4,0
1,51,69.7899,55.4656,2.06961,2.79402,2032.49,263.778,-6.52934,-39.4744,65858.6,660.343,1,1,2,3,4,0
1,52,69.6889,56.1359,2.1586,2.84067,2324.16,185.427,-2.75559,-45.1395,85001.9,688.562,1,1,2,3,4,0
1,53,69.7308,56.3345,2.10119,2.64276,2465.86,224.014,1.8227,-47.6468,80444.1,700.669,1,1,2,3,4,0
1,54,69.5321,56.4617,2.08385,2.48337,3048.55,243.978,-4.8641,-41.9423,94967.5,809.888,1,2,2,3,4,0
1,55,69.9375,55.7015,2.11164,2.18705,3232.47,292.507,-18.4146,-38.4868,93240,844.107,1,2,2,3,4,0
1,56,70.1231,56.9759,2.16461,3.63723,3508.15,599.122,18.0551,26.9826,48447.9,854.751,1,2,2,3,4,0
1,57,70.2223,56.8943,2.11613,3.28015,3616.35,612.923,19.8824,27.6308,41393.2,813.538,1,2,3,4,4,0
1,58,70.3066,54.9226,2.22063,2.49478,3112.31,238.264,-28.572,-26.4788,106625,888.432,1,1,2,3,4,0
1,59,70.2161,54.231,2.10652,2.63877,2800.28,519.692,34.2801,-0.173367,83124.4,956.237,1,1,1,1,1,0
1,60,70.3673,54.4108,2.15573,2.72235,3256.26,278.156,-8.95439,-37.6197,114326,954.45,1,1,1,1,1,0
1,61,70.5603,54.3334,2.01937,2.73738,3210.73,257.443,-6.63644,-38.6125,106730,892.562,1,1,1,1,1,0
1,62,70.6946,54.3661,2.00734,2.6891,3160.4,237.72,-14.2548,-32.3241,103587,854.574,1,1,1,1,1,0
1,63,70.7763,54.1473,2.12761,2.78221,2928.97,164.904,-9.30367,-21.8774,109414,819.651,1,1,1,1,1,0
