No,Time [frame],xg [px],yg [px],sigma x [px],sigma y [px],Imax [a.u.],Iback [a.u.],a [a.u./px],b[a.u./px],Raw Intensity[au],Average Intensity[au/px^2],Model 1,Model 2,Model 3,Model 4,Model 5,Label
2,30,34.0481,84.1518,2.26018,3.19896,763.739,180.126,-5.63498,9.15539,32375,374.787,1,1,1,2,3,0
2,31,33.9083,84.9036,2.11403,2.66904,1347.51,152.67,-7.46055,-2.26798,46437.5,433.006,1,1,1,2,2,0
2,32,33.6001,84.2708,1.88967,2.3144,1450.49,199.172,7.87966,-7.73381,38297.9,422.077,1,1,1,2,2,0
2,33,34.0453,84.1987,2.00463,2.65756,1282.62,151.028,-0.433378,-8.64498,41040.8,389.089,1,1,1,1,1,0
2,34,33.8411,84.1537,2.06551,2.68882,715.425,119.688,0.542795,6.70248,24255.8,269.68,1,1,1,1,1,0
2,35,33.7115,83.7972,1.96642,2.52477,658.983,133.581,-1.95805,8.45228,20158.9,250.657,1,1,1,1,1,0
2,36,33.6919,83.2525,1.95067,2.81064,768.174,155.919,-0.6604,6.26675,25406.9,309.32,1,1,1,1,1,0
2,37,33.7559,83.0449,1.85823,2.94878,835.952,170.162,-0.258947,6.07053,27569.9,335.858,1,1,1,3,4,0
2,38,33.9169,83.5964,2.15233,3.34861,925.184,154.534,-0.29726,12.3797,38547.1,388.361,1,2,2,3,4,0
2,39,34.0222,84.6892,2.25496,3.30998,1209.07,143.044,-9.19584,-7.08518,55814.4,481.035,1,2,2,3,4,0
2,40,34.4109,86.6422,2.25261,3.46332,837.489,125.224,-1.69517,-7.58687,36999.4,364.627,1,2,2,3,4,0
2,41,34.9103,87.5046,2.31778,3.46356,725.004,148.235,0.778027,6.53892,33144.6,353.728,,,,,,0
3,1,36.3786,172.355,1.65852,2.30031,447.502,57.3294,-0.888095,0.739339,10623,124.58,1,1,1,1,1,0
3,2,36.4756,172.657,1.71496,2.26086,436.687,58.0846,-2.13521,-0.231404,11024,124.355,1,1,1,1,1,0
3,3,36.2377,172.709,1.27183,1.90369,543.143,89.437,2.82225,-0.0848221,8249.25,136.822,1,1,1,1,1,0
3,4,36.1139,172.421,1.27348,2.06084,558.925,90.0582,-1.42649,2.80356,9591.19,145.237,1,1,1,1,1,0
3,5,36.1534,172.33,1.54441,1.12894,568.704,95.5823,-1.98508,0.709993,6233.05,130.746,1,1,1,1,1,0
3,6,36.2665,172.244,1.50325,1.5206,484.529,83.706,-1.47408,0.97531,6958.03,125.462,1,1,1,1,1,0
3,7,36.1616,172.212,1.37584,1.784,619.769,75.5398,-3.12191,1.42931,9551.25,130.355,1,1,1,1,1,0
3,8,36.0979,172.137,1.48736,1.92006,640.259,68.2063,0.441077,1.61324,11469.4,136.609,1,1,1,1,1,0
3,9,36.0262,172.119,1.265,1.75078,594.089,72.4936,1.89819,2.03108,8262.75,120.491,1,1,1,1,1,0
3,10,36.0951,172.058,1.4266,1.86367,388.891,77.0706,-1.51902,0.957052,6489.08,117.373,1,1,1,1,1,0
3,11,36.0215,171.43,1.48739,1.84264,383.826,65.3047,-0.171879,1.12922,6720.55,106.254,1,1,1,1,1,0
3,12,35.9516,171.476,1.64925,1.647,428.18,77.5416,2.02424,4.47326,7388.38,122.609,1,1,2,2,3,0
3,13,35.8391,172.591,1.25479,1.37512,292.042,69.8763,-2.15687,1.78662,3166.58,90.7692,1,1,2,2,3,0
3,14,35.9781,172.075,1.55127,1.668,272.336,64.132,-1.29217,1.81859,4450.93,93.0681,1,1,2,2,3,0
3,15,36.117,171.558,1.84775,1.96088,252.63,58.3878,-0.427475,1.85056,5735.29,95.3669,,,,,,0
4,1,48.2184,467.554,1.65729,1.76129,297.75,92.2264,7.25457,4.27502,5082.12,122.58,1,1,1,1,1,0
4,2,48.4208,467.631,1.87816,1.69665,414.801,59.7751,2.9678,-0.0542641,8288.11,108.598,1,1,1,1,1,0
4,3,48.5473,467.795,1.60534,1.88744,385.57,60.5847,0.181833,-4.85995,7332.31,104.485,1,1,1,1,1,0
4,4,48.4152,467.857,1.71033,2.09762,312.988,59.6848,1.17238,-4.98227,7024.12,101.201,1,1,1,1,1,0
4,5,47.9315,467.627,1.36888,1.70483,391.154,66.0018,1.59791,-2.52612,5732.73,97.8521,1,1,1,1,1,0
4,6,47.8681,467.636,1.31763,1.63212,474.111,60.2935,0.767051,-2.4483,6404.59,98.0237,1,1,1,1,1,0
4,7,48.0306,467.692,1.60631,1.58015,443.087,70.0413,3.07874,-0.466203,7064.3,108.485,1,1,1,1,1,0
4,8,48.1407,467.64,1.58217,1.74704,361.77,70.941,1.89142,4.06879,6281.73,106.012,1,1,1,1,1,0
4,9,48.1383,468.271,1.99777,1.65879,325.68,56.7713,0.72371,2.10908,6762.53,93.9704,1,1,1,1,1,0
4,10,48.4437,468.278,1.65547,1.57723,300.935,64.5188,1.22346,0.0227835,4785.37,91.9763,1,1,1,1,1,0
4,11,48.4375,467.97,1.68715,1.43648,343.295,66.4269,-0.817953,1.73647,5225.39,98.1953,1,1,1,1,1,0
4,12,48.5189,468.055,1.57932,1.73755,380.598,58.6049,0.110714,-0.174902,6557.83,98.0473,1,1,1,1,1,0
4,13,48.1947,467.933,1.46312,1.22756,406.085,57.6921,0.960815,2.45641,4583.52,87.3314,1,1,1,1,1,0
4,14,48.0415,467.856,1.6622,1.23462,436.283,53.4718,-1.26869,0.930696,5624.14,91.3491,1,1,1,1,1,0
4,15,48.1509,467.956,1.69105,1.3391,458.528,49.802,-0.0149314,0.688427,6521.81,91.3195,1,1,1,1,1,0
4,16,48.3742,467.971,1.92329,1.21709,398.09,75.4785,1.99175,2.10739,5872.6,108.846,1,1,1,1,1,0
4,17,48.2765,468.197,1.6247,1.38742,298.488,64.3608,2.45112,-0.440752,4227.14,89.6923,1,1,1,1,1,0
4,18,48.3638,468.178,1.8747,1.46253,330.106,48.0035,1.23308,0.0456842,5678.26,79.8166,1,1,1,1,1,0
4,19,48.3578,467.842,1.84493,1.46833,328.632,50.6999,-1.04498,-0.798652,5586.56,87.7751,,,,,,0
5,1,62.8693,61.4119,1.93833,1.99079,1109.1,154.849,10.1448,-18.7836,26941.8,309.722,1,1,1,1,1,0
5,2,62.6425,61.5128,2.24425,2.07577,896.813,138.856,11.0041,-13.8401,25324.4,288.621,1,1,1,1,1,0
5,3,62.663,61.3931,2.12952,2.17444,872.742,157.288,8.46526,-9.15993,25110.2,302.385,1,1,1,1,1,0
5,4,62.6901,61.3244,2.20241,2.36342,941.418,131.906,7.40878,-8.06732,31088,316.68,1,1,1,1,1,0
5,5,62.7401,61.4249,2.0644,2.31201,1033.1,150.194,-1.46758,-14.6687,29282.6,324.562,1,1,1,1,1,0
5,6,62.6853,61.3396,2.28562,2.34847,944.742,97.8944,-0.693784,-6.18876,31423,287.876,1,1,1,1,1,0
5,7,62.5835,61.2763,2.05024,2.17494,957.67,123.252,-0.241055,-0.757166,26839.1,276.237,1,1,1,1,1,0
5,8,62.7605,61.5773,2.01207,2.06079,966.129,98.0048,-0.457097,-10.4198,25051.3,248.598,1,1,1,1,1,0
5,9,62.6819,61.7383,2.08175,2.03687,700.273,88.4415,-2.08311,-8.93108,18068.4,194.462,1,1,1,1,1,0
5,10,62.3778,61.8588,1.99584,2.12824,627.805,83.9894,-1.7644,-10.4074,16632.2,183.041,1,1,1,1,1,0
5,11,62.6234,61.3656,2.28577,2.40122,581.301,84.2052,-2.05127,-5.73637,19610.7,199.142,1,1,1,1,1,0
5,12,62.6731,61.3547,2.05784,2.71191,550.95,78.2317,0.442406,-6.62068,18721.7,188.331,1,1,1,1,1,0
5,13,62.5992,61.3194,1.86293,2.25809,539.459,100.399,6.35704,-8.61613,13304.2,177.521,1,1,1,1,1,0
5,14,62.853,60.872,2.46645,2.26717,569.541,78.6628,1.84297,-3.51937,19568.4,199.231,1,1,1,1,1,0
5,15,62.9991,61.4673,2.18048,2.19712,606.205,89.2713,-1.34506,-8.64346,18019.4,200.722,1,1,1,1,1,0
5,16,62.9249,61.471,1.92452,1.92867,664.189,88.4452,-2.39723,-8.86677,15430.5,181.71,1,1,1,1,1,0
5,17,62.6722,61.5672,1.99461,2.28454,670.882,60.5912,0.0494083,-9.85136,19559.4,180.982,1,1,1,1,1,0
5,18,62.5571,61.1394,2.15762,2.40827,658.636,72.8549,-1.07577,-8.88554,21016.2,196.964,1,1,1,1,1,0
5,19,62.4336,60.8462,2.02617,2.24055,859.815,101,-1.43075,-7.44755,24268.6,250.639,1,1,1,1,1,0
5,20,62.5523,61.2948,1.96362,2.14573,1141.45,114.626,-0.612153,-12.0247,29983.7,292.799,1,1,1,1,1,0
5,21,62.7223,61.4275,2.08579,2.24304,1079.21,92.99,0.864108,-9.26603,32161.4,287.834,1,1,1,1,1,0
5,22,62.7085,61.4985,1.98319,2.22146,1165.97,101.887,-3.94414,-10.5343,31942.6,295.243,1,1,1,1,1,0
5,23,62.6829,61.5256,1.68535,1.98779,1416.34,126.77,-4.6569,-14.3108,30161.5,305.107,1,1,1,1,1,0
5,24,62.6963,61.6337,1.59417,1.78247,1442.01,153.603,0.239401,-16.2029,25082.3,302.331,1,1,1,1,1,0
5,25,62.7666,61.5705,1.84776,1.89157,1303.09,131.788,-2.70953,-7.00984,28052.2,295.651,1,1,1,1,1,0
5,26,62.8186,61.4674,1.93068,1.97469,1288.93,136.573,-7.4268,-9.28755,31068.3,315.74,1,1,1,1,1,0
5,27,62.522,61.5621,1.92874,2.14144,1267.01,114.39,-3.51483,-12.4309,33392.5,314.278,1,1,1,1,1,0
5,28,62.5622,61.7028,1.94301,2.15525,1277.44,129.459,-6.78767,-21.6956,33893.4,332.178,1,1,1,1,1,0
5,29,62.4552,61.6736,1.83301,1.98418,1487.65,148.604,-2.88221,-19.8498,33587.1,347.799,1,1,1,1,1,0
5,30,62.4286,61.449,1.9767,2.14753,1474.01,125.693,-7.28258,-20.5593,38982.7,357.55,1,1,1,1,1,0
5,31,62.5358,61.2952,2.08438,2.17826,1326.51,141.482,-8.90903,-17.3186,37893,360.467,1,1,1,1,1,0
