No,Time [frame],xg [px],yg [px],sigma x [px],sigma y [px],Imax [a.u.],Iback [a.u.],a [a.u./px],b[a.u./px],Raw Intensity[au],Average Intensity[au/px^2],Model 1,Model 2,Model 3,Model 4,Model 5,Label
1,1,32.8016,108.632,2.46085,1.88818,1203.05,606.336,15.0656,32.4997,13688.7,672.586,1,2,3,4,5,0
1,2,36.0227,108.579,3.34526,2.11678,1609.89,275.232,-27.0891,-20.775,66151.1,654.266,1,1,2,2,2,0
1,3,36.3003,108.759,3.20317,2.13737,1494.97,254.881,-19.5694,-17.7496,60082.7,610.527,1,1,2,3,4,0
1,4,36.752,108.969,2.47672,2.44208,1794.7,217.365,-23.5733,-16.05,66210.1,632.503,1,1,2,3,4,0
1,5,36.3848,108.189,2.77447,1.93114,1422.17,280.616,-17.7847,-13.2754,46297.7,541.923,1,2,2,3,4,0
1,6,37.0579,107.797,4.23546,2.01242,1078.07,230.59,-8.63706,-14.8969,48462.1,537.331,1,2,2,3,4,0
1,7,38.6445,107.366,3.61538,2.03919,892.145,219.693,5.69203,-15.4286,39275.7,449.988,1,2,2,3,4,0
1,8,40.4246,107.628,4.00065,1.81682,827.807,216.948,11.5145,-10.3061,30971,406.172,1,1,2,3,4,0
1,9,39.8305,107.729,2.82914,1.96716,1059.13,219.738,10.8023,-10.9819,31925.9,417.574,1,1,2,3,4,0
1,10,39.8994,107.592,3.40483,2.17734,1374.26,181.775,-7.34051,-18.001,56615,529.734,1,1,2,3,4,0
1,11,40.7205,107.589,2.97659,2.211,1218.75,166.418,-17.2578,-20.2792,46517.9,447.343,1,1,2,3,4,0
1,12,39.9794,108.048,3.94978,2.41124,934.053,144.121,-1.30841,-11.5254,46756.8,421.154,1,2,2,3,4,0
1,13,41.1832,107.901,3.67896,2.06159,971.789,173.606,-4.21811,-18.1246,40513.4,418.089,1,2,2,3,4,0
1,14,41.9549,107.273,2.51662,2.13599,1610.83,173.849,-12.5387,-16.5369,53033.4,489.828,1,1,2,3,4,0
1,15,41.3993,107.081,2.51799,2.23492,1535.97,155.397,-15.385,-14.7901,52977.2,469.746,1,1,2,3,4,0
1,16,40.6557,107.356,2.34813,2.10921,2106.31,186.289,-11.606,-19.2601,64533.8,572.828,1,2,2,3,4,0
1,17,41.3994,107.333,2.3268,2.27991,1820.33,241.743,-4.41383,-3.29651,57805.9,573.059,1,2,2,3,4,0
1,18,42.6467,107.398,2.83873,2.779,1404.27,148.611,-4.84067,-12.4182,64855,540.893,1,2,3,3,4,0
1,19,40.7834,107.943,3.50057,2.18492,651.45,198.96,25.8178,-27.0298,28489.1,375.391,,,,,,0
2,1,46.1054,503.75,1.59613,1.89158,613.008,113.152,-1.09997,-7.58133,11610.2,182.675,1,1,1,1,1,0
2,2,45.9692,503.725,1.71186,1.87764,622.413,91.2283,0.521282,-6.97282,12548,163.213,1,1,1,1,1,0
2,3,45.9137,503.797,1.88972,2.11078,514.846,69.0774,-1.27764,-5.43307,12830.7,149.385,1,1,1,1,1,0
2,4,45.9734,504.079,1.81083,1.97815,491.445,93.4614,-0.236634,-8.21015,11029.5,156.195,1,1,1,1,1,0
2,5,45.7661,503.598,2.17958,2.41554,488.254,91.3247,-4.353,-13.5203,16486.6,191.87,1,1,1,1,1,0
2,6,46.3187,503.646,2.16054,2.30451,395.133,77.1455,-3.19816,-11.9957,12901.9,153.751,1,1,1,1,1,0
2,7,46.3483,503.771,2.05692,1.99197,404.634,87.9209,-4.90793,-8.99851,10353.1,151.296,1,1,1,1,1,0
2,8,46.2169,504.292,1.89229,2.11311,442.428,74.3267,-4.40041,-9.64424,11049.5,140.574,1,1,1,1,1,0
2,9,46.3071,504.344,1.5845,1.94066,367.471,90.2969,-3.94935,-8.76173,7084.09,130.254,1,1,1,1,1,0
